id,Labels,Targets
1525114793237041152,0,
1518543317272698880,0,
1522570996355452928,1,1
1522189089394487296,0,
1526548697848639488,0,
1519262937700921344,0,
1518475678416777216,0,
1520835250401820675,1,2
1519596191881003008,0,
1521515303435259906,0,
1521409962555101185,0,
1520786618898345985,1,2
1525289153566498818,0,
1524612588260143107,0,
1522713227129278465,1,3
1526937942761287681,0,
1521443312829296641,0,
1519182107033018368,0,
1523899250433609729,0,
1524779005827723267,0,
1524187997612036096,1,2
1526144008874905601,0,
1521464383901102082,0,
1526946408724672513,0,
1522871316927623168,0,
1522930706967527424,0,
1520668643306065921,0,
1521114485167034369,0,
1525823704810557443,0,
1520388971955892225,0,
1525648888295616512,0,
1523211946589585408,0,
1521063088375894023,0,
1521812355587272704,0,
1525692874515693568,0,
1526121502751436801,0,
1526867590898802689,0,
1526525743357784065,0,
1522442158212403200,1,2
1522781890188509186,0,
1518783396700475394,0,
1522833191924510720,0,
1521092968362700800,0,
1524936880554639361,0,
1526980530851307520,1,2
1517832026463760384,0,
1524045106118021121,0,
1518482447918243841,0,
1518881254976163840,0,
1521128056777502720,0,
1523014657316851712,1,1
1525157994186481670,1,1
1519203774610300928,0,
1525477399542243328,0,
1526021239411978240,0,
1523548271071105025,0,
1523119475809079297,0,
1524962129370963968,0,
1523191423595515905,0,
1521401272259461120,0,
1518946754011537408,0,
1525802789737074688,0,
1518586425465540608,0,
1524362510715039744,0,
1526530005110382593,0,
1522493341715234816,0,
1526380022118100992,0,
1523260069181554688,0,
1523612462330773506,0,
1518543991066619904,0,
1521521432940793856,0,
1520360090359848961,0,
1521021766390456322,0,
1525340770038849537,0,
1522493942889345027,0,
1519207227256721410,0,
1522788152376578048,0,
1526219827488391169,0,
1518600989447966722,0,
1526885355571466240,0,
1518890083838955521,0,
1521891933727035394,0,
1526422715787538433,0,
1522861357158178817,0,
1524275908802088961,0,
1518096757527175172,0,
1525153387872153600,0,
1523303143743754240,0,
1521125949735006208,0,
1524216394123857921,0,
1525455671311089667,0,
1522985724529635328,0,
1520313952067985408,0,
1521892290846810112,0,
1522440511981719553,0,
1525898276079341571,0,
1525315790358347779,0,
1520807165732483072,0,
